Title,Body,Labels,Milestone
"[0001] Xcode Project Setup with Signing Configuration","Set up the initial Xcode project structure with code signing, entitlements, and universal binary support. See tasks/0001-xcode-project-setup.md","M1-Foundation,medium","Phase 1"
"[0002] Basic SwiftUI App Shell","Create the basic SwiftUI app structure with app lifecycle, window management, and AppDelegate. See tasks/0002-swiftui-app-shell.md","M1-Foundation,medium","Phase 1"
"[0003] Menu Bar Integration","Implement NSStatusItem for persistent menu bar presence with status icon and dropdown menu. See tasks/0003-menu-bar-integration.md","M1-Foundation,medium","Phase 1"
"[0004] Launch at Login","Configure LaunchAgent for automatic launch at login with enable/disable UI. See tasks/0004-launch-at-login.md","M1-Foundation,medium","Phase 1"
"[0100] ChatDB Reader","Implement SQLite read-only access to ~/Library/Messages/chat.db for iMessage reading. See tasks/0100-chatdb-reader.md","M2-iMessage,large","Phase 1"
"[0101] FSEvents Message Watcher","Monitor chat.db for new messages using FSEvents/DispatchSource file monitoring. See tasks/0101-fsevents-watcher.md","M2-iMessage,medium","Phase 1"
"[0102] Message Sender via AppleScript","Send iMessage responses via AppleScript automation to Messages.app. See tasks/0102-message-sender.md","M2-iMessage,large","Phase 1"
"[0103] Phone Number Filter","Filter incoming messages to only process messages from the configured phone number. See tasks/0103-phone-filter.md","M2-iMessage,medium","Phase 1"
"[0104] Group Chat Detector","Detect and block group chat messages to prevent unintended responses. See tasks/0104-group-chat-detector.md","M2-iMessage,medium","Phase 1"
"[0200] Keychain Manager","Implement secure API key storage using macOS Keychain Services. See tasks/0200-keychain-manager.md","M3-LLM,large","Phase 1"
"[0201] Claude API Client","Build URLSession-based Claude API client with proper request/response handling. See tasks/0201-claude-api-client.md","M3-LLM,large","Phase 1"
"[0202] Streaming Response Handler","Handle Claude API streaming responses (SSE) for real-time message delivery. See tasks/0202-streaming-handler.md","M3-LLM,large","Phase 1"
"[0203] Basic Context Builder","Assemble the LLM prompt context from system prompt, memory, and conversation history. See tasks/0203-basic-context-builder.md","M3-LLM,medium","Phase 1"
"[0204] Error Handling with Retry and Backoff","Implement exponential backoff retry logic for API failures with circuit breaker pattern. See tasks/0204-error-retry-handler.md","M3-LLM,large","Phase 1"
"[0300] SQLite Database Manager","Set up SQLite database (memory.db) with schema, migrations, and encrypted storage. See tasks/0300-database-manager.md","M4-Memory,large","Phase 2"
"[0301] Fact Storage System","Implement fact insert, update, delete operations with conflict resolution. See tasks/0301-fact-storage.md","M4-Memory,large","Phase 2"
"[0302] Fact Retrieval for Context","Retrieve relevant facts for LLM context based on recency and relevance. See tasks/0302-fact-retrieval.md","M4-Memory,large","Phase 2"
"[0303] Fact Extraction Prompt Design","Design and implement the prompt that extracts facts from conversations. See tasks/0303-fact-extraction.md","M4-Memory,large","Phase 2"
"[0304] Session State Manager","Manage conversation session state, timeouts, and session boundaries. See tasks/0304-session-manager.md","M4-Memory,large","Phase 2"
"[0400] System Prompt Implementation","Implement Ember's personality system prompt with character traits and behavioral rules. See tasks/0400-system-prompt.md","M5-Personality,large","Phase 2"
"[0401] Verbosity Adaptation Logic","Adapt response length based on user message patterns and time of day. See tasks/0401-verbosity-adaptation.md","M5-Personality,medium","Phase 2"
"[0402] Conversation Continuity","Maintain conversation flow across session boundaries using context threading. See tasks/0402-conversation-continuity.md","M5-Personality,medium","Phase 2"
"[0403] Rolling Summary Generation","Generate rolling conversation summaries to maintain context within token limits. See tasks/0403-rolling-summary.md","M5-Personality,large","Phase 2"
"[0404] Context Window Budget Enforcement","Enforce token budget across system prompt, memory, history, and rolling summary. See tasks/0404-context-budget-enforcement.md","M5-Personality,large","Phase 2"
"[0500] Injection Defense Scanner","Detect and block prompt injection attacks in incoming messages. See tasks/0500-injection-scanner.md","M6-Security,large","Phase 3"
"[0501] Credential Filtering Scanner","Filter credentials and sensitive data from LLM output before sending to user. See tasks/0501-credential-scanner.md","M6-Security,large","Phase 3"
"[0502] Security Pipeline Integration","Wire injection scanner, credential filter, and group chat blocking into unified pipeline. See tasks/0502-security-pipeline.md","M6-Security,large","Phase 3"
"[0503] Security Event Logging","Log security-relevant events with appropriate privacy controls. See tasks/0503-security-logging.md","M6-Security,large","Phase 3"
"[0504] Message Coordinator Pipeline Integration","Central orchestrator wiring iMessage, security, LLM, and memory into complete message flow. See tasks/0504-message-coordinator.md","M6-Security,large","Phase 3"
"[0600] Permission Request Onboarding Flow","Guide users through Full Disk Access, Automation, and Notification permissions. See tasks/0600-onboarding-flow.md","M7-Onboarding,large","Phase 3"
"[0601] API Key Entry UI","Secure API key entry screen with validation and Keychain storage. See tasks/0601-api-key-entry.md","M7-Onboarding,large","Phase 3"
"[0602] Phone Number Configuration UI","Phone number entry and validation for message filtering configuration. See tasks/0602-phone-config.md","M7-Onboarding,medium","Phase 3"
"[0603] First Message End-to-End Test","Verify complete pipeline works by sending and receiving a test message. See tasks/0603-first-message-test.md","M7-Onboarding,large","Phase 3"
"[0604] Onboarding Accessibility Pass","Ensure all onboarding screens support VoiceOver, Dynamic Type, and keyboard navigation. See tasks/0604-onboarding-accessibility.md","M7-Onboarding,medium","Phase 3"
"[0700] Error States UI","Display user-friendly error states for common failure modes. See tasks/0700-error-states-ui.md","M8-Polish,large","Phase 3"
"[0701] Settings UI","Build settings view for API key management, phone config, and preferences. See tasks/0701-settings-ui.md","M8-Polish,large","Phase 3"
"[0702] Menu Bar Status Indicators","Show real-time status (healthy, degraded, offline, error) in menu bar icon. See tasks/0702-menu-bar-status.md","M8-Polish,large","Phase 3"
"[0703] Crash Recovery System","Implement launchd-based crash recovery with state persistence. See tasks/0703-crash-recovery.md","M8-Polish,large","Phase 3"
"[0704] Sandboxed Web Fetcher","Fetch and extract web content from URLs shared in messages using ephemeral URLSession. See tasks/0704-web-fetcher.md","M8-Polish,large","Phase 3"
"[0800] Integration Test Suite","End-to-end integration tests for the complete message pipeline. See tasks/0800-integration-tests.md","M9-Testing,large","Final"
"[0801] Unit Test Coverage Pass","Systematic unit test coverage pass targeting 60% minimum coverage. See tasks/0801-unit-test-coverage.md","M9-Testing,medium","Final"
"[0802] Security Penetration Tests","Security-focused tests for injection defense, credential filtering, and pipeline integrity. See tasks/0802-security-penetration-tests.md","M9-Testing,large","Final"
"[0900] Crisis Detection and Safety Responses","Implement tiered crisis detection with 988/911 referral responses per legal requirements. See tasks/0900-crisis-safety.md","M10-Final,large","Final"
"[0901] Build Configuration and Code Signing","Configure release build settings, code signing, and scheme setup. See tasks/0901-build-configuration.md","M10-Final,medium","Final"
"[0902] App Startup Sequence and Final Wiring","Wire all components together with dependency injection in correct initialization order. See tasks/0902-app-startup-wiring.md","M10-Final,large","Final"
"[0903] Final Code Review and Cleanup","Comprehensive code review, cleanup, and audit across all source files. See tasks/0903-final-review.md","M10-Final,large","Final"
"[0904] Notarization and Distribution Packaging","Apple notarization, DMG packaging, and fresh install verification scripts. See tasks/0904-notarization-distribution.md","M10-Final,medium","Final"
"[0905] Offline Detection and Graceful Degradation","Network monitoring with NWPathMonitor, message queuing, and offline/online transitions. See tasks/0905-offline-handling.md","M10-Final,medium","Final"
"[0906] Final Documentation Pass","User-facing README, user guide, contributing guide, and changelog. See tasks/0906-final-documentation.md","M10-Final,medium","Final"
